"idő","kút","latitude","longitude","Év","Hónap","Cu","Ni","Co","Cr","Cd","Pb","Zn","As","NH4","PO4","NO3","NO2","pH","T","Vez.kép","logcu","logni","logco","logcr","logcd","logpb","logzn","logas","lognh4","logpo4","logno3","logno2","logvezkep","FAC1_1","FAC2_1","FAC3_1","FAC4_1","FAC5_1"
"2.00","1.00","46.26445781","20.07529457","1.0","10.0","28.56","1.4","0.41","2.14","0.23","5.98","111.9","","465.43","16.78","1869.9","92.87","8.37","16.2","","3.3520071374713836","0.3364722366212129","-0.8915981192837836","0.7608058290337602","-1.4696759700589417","1.7884205679625405","4.71760561531788","","6.142961709469677","2.8201877010390604","7.533640232482915","4.531200665787917","","","","","",""
"3.00","2.00","46.27994942","20.09128970","1.0","10.0","3.4","0.88","0.29","0.38","0.14","0.34","6.69","","452.57","35.36","159.84","24.33","7.24","15.5","","1.2237754316221157","-0.12783337150988489","-1.2378743560016174","-0.9675840262617056","-1.9661128563728327","-1.0788096613719298","1.900613874140137","","6.114942447308365","3.5655812377694427","5.074173314900244","3.1917101567954314","","","","","",""
"4.00","3.00","46.27069589","20.11667412","1.0","10.0","2.68","","0.41","0.37","0.18","1.98","4.21","","842.79","292.45","100.0","25.35","7.68","17.3","","0.9858167945227654","","-0.8915981192837836","-0.9942522733438669","-1.7147984280919266","0.6830968447064438","1.43746264769429","","6.736717816648441","5.678293711889035","4.605170185988092","3.232778730037192","","","","","",""
"5.00","4.00","46.27920246","20.12871370","1.0","10.0","13.16","","0.58","0.48","0.22","","269.0","","361.29","166.97","6248.45","47.84","8.12","15.6","","2.5771819258971713","","-0.5447271754416722","-0.7339691750802004","-1.5141277326297755","","5.594711379601839","","5.889680959940498","5.117814155560866","8.740088711973362","3.867862109642376","","","","","",""
"6.00","5.00","46.27494389","20.13112318","1.0","10.0","34.16","","0.51","0.42","0.12","2.19","93.07","","529.71","284.68","18586.63","318.78","8.36","16.2","","3.531055368920369","","-0.6733445532637656","-0.8675005677047231","-2.120263536200091","0.7839015438284094","4.533351898197619","","6.2723296869828165","5.651365742431071","9.830197784024035","5.7645012096909065","","","","","",""
"7.00","6.00","46.26920020","20.15307660","1.0","10.0","3.54","","0.54","0.36","0.19","","18.64","0.44","419.14","0.0","9541.61","256.1","7.77","17.3","","1.264126727145683","","-0.616186139423817","-1.0216512475319814","-1.6607312068216509","","2.925309809257445","-0.8209805520698302","6.038204992991797","","9.163417513306166","5.54556799320548","","","","","",""
"8.00","7.00","46.26934011","20.16596127","1.0","10.0","10.47","","0.29","0.7","0.2","","630.3","","314.36","173.48","12275.03","64.79","7.8","18.2","","2.3485140248824456","","-1.2378743560016174","-0.35667494393873245","-1.6094379124341003","","6.446195896519065","","5.750538825997975","5.156062318967165","9.415322396651588","4.171151270461866","","","","","",""
"9.00","8.00","46.27819983","20.16376994","1.0","10.0","7.69","","0.54","0.21","0.2","","62.29","","403.71","10.0","28199.32","178.78","7.37","16.6","","2.0399207835175526","","-0.616186139423817","-1.5606477482646683","-1.6094379124341003","","4.131800899266054","","6.00069679842156","2.302585092994046","10.247053143160294","5.186155999659706","","","","","",""
"10.00","9.00","46.28459488","20.18732313","1.0","10.0","1.83","","0.85","0.4","0.14","","7.64","1.03","1271.57","228.64","2106.03","131.25","7.39","16.3","","0.6043159668533296","","-0.16251892949777494","-0.916290731874155","-1.9661128563728327","","2.033397603178429","0.02955880224154443","7.1480076364337135","5.432148714181557","7.652559937606707","4.877103901471733","","","","","",""
"11.00","10.00","46.26497689","20.18209410","1.0","10.0","44.27","","1.13","0.37","0.33","0.76","779.1","","423.64","10.0","3131.15","197.03","7.38","15.6","","3.7903072467440495","","0.12221763272424911","-0.9942522733438669","-1.1086626245216111","-0.2744368457017603","6.6581394073368125","","6.048884037975468","2.302585092994046","8.04915562819546","5.283356001407877","","","","","",""
